,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
196,1939-01-21,Short S.23 Empire Flying Boat Mk II,Atlantic Ocean,3,0,5.0,8.0,Imperial Airways,1936-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Short,1939,January,Saturday,1116
201,1939-03-14,Junkers Ju-52/3mge,Belgium,3,0,3.0,0.0,Sabena,1937-01-01,Destroyed,Approach (APR),Cargo,Junkers,1939,March,Tuesday,802
202,1939-03-18,Boeing S.307 Stratoliner,United States of America,10,0,10.0,0.0,Boeing,1938-01-01,Damaged beyond repair,Maneuvering (MNV),Test,Boeing,1939,March,Saturday,441
203,1939-03-26,Douglas DC-2-112,United States of America,8,0,3.0,9.0,Braniff Airways,1934-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Douglas,1939,March,Sunday,1910
204,1939-04-15,Ford 5-AT-C Tri-Motor,Colombia,2,0,2.0,0.0,South American Gulf Oil Co.,1929-01-01,Damaged beyond repair,En route (ENR),Unknown,Ford,1939,April,Saturday,3756
210,1939-06-06,Douglas DC-2-115E,Netherlands,0,1,4.0,0.0,KLM,1935-01-01,Substantial,Maneuvering (MNV),Training,Douglas,1939,June,Tuesday,1617
212,1939-08-13,Sikorsky S-43B,Brazil,14,0,4.0,12.0,Pan Am,1936-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Sikorsky,1939,August,Sunday,1320
213,1939-08-24,Junkers F.24kay (G.24),Germany,2,0,2.0,0.0,Deutsche Lufthansa,1925-01-01,Damaged beyond repair,En route (ENR),Test,Junkers,1939,August,Thursday,5348
221,1939-10-17,Savoia-Marchetti S.73,Spain,15,0,7.0,10.0,Ala Littoria,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Savoia-Marchetti,1939,October,Tuesday,1019
224,1939-12-04,Junkers Ju-52/3mlu,Germany,5,0,4.0,13.0,Ala Littoria,1935-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Junkers,1939,December,Monday,1798
226,1939-12-21,Lockheed 14-WF62 Super Electra,Mediterranean Sea,5,0,5.0,6.0,British Airways,1938-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Lockheed,1939,December,Thursday,719
227,1940-01-22,Lockheed 14-WF62 Super Electra,Indonesia,8,0,4.0,5.0,KNILM,1938-01-01,Damaged beyond repair,Takeoff (TOF),Passenger,Lockheed,1940,January,Monday,751
230,1940-03-03,Bloch 220,France,3,0,3.0,0.0,Air France,1935-01-01,Damaged beyond repair,En route (ENR),Cargo,Bloch,1940,March,Sunday,1888
231,1940-03-16,Savoia-Marchetti S.73,Italy,14,0,5.0,9.0,ALI,1937-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Savoia-Marchetti,1940,March,Saturday,1170
244,1940-04-22,Lockheed 14-WF62 Super Electra,United Kingdom,3,0,3.0,0.0,BOAC,1938-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,Lockheed,1940,April,Monday,842
263,1940-06-01,Douglas R3D-1 (DC-5),United States of America,4,0,4.0,0.0,Douglas,1940-01-01,Damaged beyond repair,Unknown (UNK),Test,Douglas,1940,June,Saturday,152
272,1940-08-07,Lisunov PS-84,Russia,18,0,4.0,17.0,Aeroflot,1940-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Lisunov,1940,August,Wednesday,219
273,1940-08-09,Douglas DC-2-115E,Germany,2,0,3.0,10.0,Deutsche Lufthansa,1935-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1940,August,Friday,2047
274,1940-08-23,Douglas DC-3-227,Romania,11,0,3.0,17.0,LARES,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1940,August,Friday,1330
275,1940-08-31,Douglas DC-3-313,United States of America,25,0,4.0,21.0,Pennsylvania-Central Airlines,1940-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1940,August,Saturday,243
276,1940-10-10,Dewoitine D.338,Benin,3,0,3.0,0.0,Air France,1938-01-01,Damaged beyond repair,En route (ENR),Unknown,Dewoitine,1940,October,Thursday,1013
278,1940-10-29,Douglas DC-2-221,China,9,0,4.0,10.0,CNAC,1937-01-01,Destroyed,Taxi (TXI),Domestic Scheduled Passenger,Douglas,1940,October,Tuesday,1397
279,1940-10-29,Douglas DC-3-220,Germany,2,0,3.0,12.0,Deutsche Lufthansa,1937-01-01,Damaged beyond repair,Takeoff (TOF),Scheduled Passenger,Douglas,1940,October,Tuesday,1397
282,1940-11-04,Douglas DC-3-197,United States of America,10,0,3.0,7.0,United Airlines,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1940,November,Monday,1403
286,1940-11-10,Lockheed 14-N2 Super Electra,Kenya,7,0,7.0,0.0,RAF,1938-01-01,Damaged beyond repair,Initial climb (ICL),Military,Lockheed,1940,November,Sunday,1044
290,1940-12-04,Douglas DC-3A-197C,United States of America,10,0,3.0,13.0,United Airlines,1940-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Douglas,1940,December,Wednesday,338
296,1941-01-20,Ford 5-AT-D Tri-Motor,China,5,0,4.0,2.0,CNAC,1931-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Ford,1941,January,Monday,3672
297,1941-01-23,Douglas DC-3B-202,United States of America,2,0,3.0,11.0,TWA,1937-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Douglas,1941,January,Thursday,1483
299,1941-02-06,Lockheed 14-H2 Super Electra,Canada,12,0,3.0,9.0,TCAL,1939-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Lockheed,1941,February,Thursday,767
